chromosome	block	num_variants	L	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95	num_variants_0.95.EUR	num_variants_0.5.EUR	num_CS95.EUR	num_variants_CS95.EUR	num_variants_0.95.EAS	num_variants_0.5.EAS	num_CS95.EAS	num_variants_CS95.EAS
6	149	3182	5	171.072725534439	0	0	2	68	0	0	1	15	0	0	2	68
6	167	1155	5	7.82768750190735	0	0	2	42	0	0	1	14	0	0	1	28
6	169	4276	5	426.212565898895	0	0	0	0	0	0	0	0	0	0	0	0
6	173	2522	5	132.237497329712	0	0	0	0	0	0	0	0	0	0	0	0
6	175	1053	5	5.96369504928589	0	0	0	0	0	0	0	0	0	0	0	0
6	177	3003	5	181.962615013123	0	0	0	0	0	0	0	0	0	0	0	0
7	5	1883	5	58.5705966949463	0	0	1	4	0	0	1	4	0	0	1	4
7	6	862	5	2.68260097503662	0	0	1	8	0	0	1	8	0	0	1	8
7	8	3150	5	259.831851243973	0	0	0	0	0	0	0	0	0	0	0	0
7	17	702	5	5.45137071609497	0	0	1	19	0	0	1	19	0	0	0	0
7	19	652	5	1.23784685134888	0	0	0	0	0	0	0	0	0	0	0	0
7	37	2092	5	84.2011213302612	0	1	1	4	0	1	1	4	0	1	0	0
7	40	3179	5	218.62563419342	0	0	1	42	0	0	1	42	0	0	0	0
7	41	1782	5	49.3470463752747	0	0	1	26	0	0	1	26	0	0	1	26
7	66	704	5	1.88420343399048	0	0	0	0	0	0	0	0	0	0	0	0
7	67	4681	5	805.684503078461	0	0	1	55	0	0	1	55	0	0	0	0
7	68	1698	5	40.5506899356842	0	0	0	0	0	0	0	0	0	0	0	0
7	81	2629	5	162.332834005356	0	0	0	0	0	0	0	0	0	0	0	0
7	83	1841	5	37.9164640903473	0	0	1	74	0	0	0	0	0	0	1	74
7	85	2320	5	49.6608545780182	0	0	1	46	0	0	1	46	0	0	0	0
7	92	2065	5	79.8810739517212	0	0	1	47	0	0	1	47	0	0	0	0
7	97	2052	5	40.9420337677002	0	0	1	34	0	0	1	34	0	0	1	34
7	98	3168	5	263.050428390503	0	0	1	96	0	0	1	96	0	0	1	96
7	99	3694	5	424.521714925766	0	1	1	2	0	1	1	2	0	1	1	2
7	111	2322	5	47.184494972229	0	0	1	26	0	0	1	26	0	0	1	26
7	114	3519	5	173.814572095871	0	0	2	114	0	0	2	114	0	0	1	71
7	119	1232	5	5.02184724807739	0	0	1	14	0	0	1	14	0	0	1	14
7	122	2261	5	49.90349817276	0	0	2	41	0	0	2	41	0	0	2	41
7	124	2137	5	84.2986443042755	0	0	1	183	0	0	1	183	0	0	1	183
7	131	5437	5	746.932854413986	0	0	0	0	0	0	0	0	0	0	0	0
7	132	5183	5	1119.90775299072	0	0	0	0	0	0	0	0	0	0	0	0
7	135	543	5	0.960073947906494	0	1	0	0	0	1	0	0	0	0	0	0
7	138	3105	5	143.797718286514	0	0	0	0	0	0	0	0	0	0	0	0
7	141	2111	5	76.1543893814087	0	0	1	41	0	0	1	41	0	0	1	41
7	145	1317	5	21.1614005565643	0	1	1	11	0	1	1	11	0	0	0	0
7	148	1049	5	5.40294599533081	0	0	0	0	0	0	0	0	0	0	0	0
7	170	495	5	0.830608606338501	0	1	1	2	0	1	1	2	0	1	1	2
7	185	959	5	3.91997003555298	0	0	1	27	0	0	1	27	0	0	0	0
8	2	2499	5	74.2723500728607	0	0	1	52	0	0	1	52	0	0	0	0
