pid	chromosome	block	num_variants	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
european	7	97	2568	2.79061889648438	0	0	1	38
european	7	98	3790	10.5208368301392	0	0	1	100
european	7	99	4852	11.5378067493439	0	1	1	3
european	7	111	3384	3.39901781082153	0	0	0	0
european	7	114	4397	15.3302791118622	0	0	1	50
european	7	119	1694	0.65580153465271	0	0	0	0
european	7	122	3061	4.43480062484741	0	0	2	43
european	7	124	3316	7.92611861228943	0	0	0	0
european	7	131	6369	35.2214438915253	0	0	0	0
european	7	132	6591	36.1415491104126	0	0	0	0
european	7	135	839	0.336941957473755	0	1	0	0
european	7	138	3768	13.8359308242798	0	0	0	0
european	7	141	3614	6.00642800331116	0	0	1	31
european	7	145	1772	2.08531999588013	0	0	1	5
european	7	148	1475	5.13183403015137	0	0	0	0
european	7	170	685	0.159201622009277	0	1	1	2
european	7	185	1349	0.451502561569214	0	0	1	32
european	8	2	3101	4.52992987632751	0	0	1	52
european	8	4	872	0.169222116470337	0	0	1	16
european	8	7	2222	1.12410187721252	0	0	0	0
european	8	11	3457	6.43812108039856	0	0	1	16
european	8	19	1104	0.503941059112549	0	0	0	0
european	8	24	3595	9.52788329124451	0	0	0	0
european	8	27	1601	0.948931217193604	0	0	1	19
european	8	29	3877	10.1454765796661	0	0	1	13
european	8	40	2223	1.63455128669739	0	0	0	0
european	8	42	3559	6.78274488449097	0	0	1	14
european	8	43	3436	5.37482953071594	0	0	1	8
european	8	49	2295	3.32393741607666	0	0	1	43
european	8	51	4655	24.063631772995	0	0	0	0
european	8	55	1576	0.711190700531006	0	0	1	109
european	8	57	2177	4.94444966316223	0	0	0	0
european	8	65	1601	2.03601360321045	0	0	0	0
european	8	67	3343	7.53475618362427	0	0	1	86
european	8	69	4214	13.4211122989655	0	0	1	67
european	8	71	2810	7.49217414855957	0	0	2	114
european	8	74	2008	2.17149448394775	0	0	1	35
european	8	92	3392	3.16555023193359	0	0	0	0
european	8	106	2645	6.89964485168457	0	0	1	13
european	8	107	975	0.517256259918213	0	0	0	0
european	8	108	5698	23.1728324890137	0	0	0	0
european	8	110	4772	19.3293187618256	0	0	0	0
european	8	111	6787	12.5435268878937	0	0	1	29
european	8	113	1575	1.05275774002075	0	0	0	0
european	8	135	2288	2.72450399398804	0	0	1	33
european	8	158	2794	3.71723937988281	0	1	1	2
european	8	159	1661	0.821535587310791	0	0	2	31
european	9	14	1323	1.45147037506104	0	0	0	0
european	9	27	5296	22.5127217769623	0	0	0	0
european	9	28	1669	1.71620512008667	0	1	1	2
european	9	38	2742	6.56441378593445	0	0	0	0
european	9	39	942	0.685640096664429	0	0	0	0
european	9	40	3284	2.71452641487122	1	1	1	1
european	9	41	232	0.103152990341187	0	1	0	0
european	9	42	2133	3.72642755508423	0	0	0	0
european	9	44	387	0.0576395988464355	0	0	0	0
european	9	45	3561	18.9561035633087	0	0	0	0
european	9	50	4403	17.7421886920929	0	0	0	0
european	9	53	4359	9.94507527351379	0	0	0	0
european	9	54	1531	1.63399982452393	0	1	0	0
european	9	56	2875	4.19809079170227	0	0	1	127
european	9	68	360	0.0698654651641846	0	0	1	5
european	9	78	960	0.491382837295532	0	0	0	0
european	9	80	5041	10.3895568847656	0	0	0	0
european	9	81	381	0.0590031147003174	0	0	0	0
european	9	83	1798	0.85114574432373	0	0	1	161
european	9	99	2260	1.9125838279724099	0	0	1	32
european	9	103	863	0.164258480072021	0	0	1	19
european	9	115	3937	3.46068978309631	0	0	0	0
european	9	119	1913	1.07444930076599	0	0	1	155
european	9	140	3682	8.64650416374207	0	0	0	0
european	9	146	666	0.137140989303589	0	0	0	0
european	9	158	177	0.0300133228302002	1	1	1	1
european	10	1	2446	1.28491759300232	0	0	0	0
european	10	4	3502	10.8789019584656	0	0	0	0
european	10	8	1232	0.656127452850342	0	0	1	38
european	10	9	286	0.0873019695281982	0	0	1	3
european	10	24	847	0.22854208946228	0	0	1	43
european	10	28	1338	0.436895370483398	0	0	0	0
european	10	45	3459	5.50617551803589	0	1	2	106
european	10	48	2584	1.91199493408203	0	0	0	0
european	10	49	1923	2.23430848121643	0	0	0	0
european	10	60	4667	19.4219124317169	0	0	1	16
european	10	61	1480	1.21993446350098	0	0	0	0
european	10	73	1754	1.14270305633545	0	0	1	8
european	10	80	2934	4.11161661148071	0	0	0	0
european	10	81	3645	6.89646077156067	0	0	1	24
european	10	82	4067	4.48004341125488	0	0	0	0
european	10	90	149	0.030958890914917	0	0	1	6
european	10	96	1696	1.13178491592407	0	0	0	0
european	10	109	2805	2.42519927024841	0	0	0	0
european	10	113	2380	4.0510618686676	0	0	1	221
european	10	114	2209	5.45961546897888	0	1	1	4
european	10	129	4218	18.2009422779083	0	0	1	74
european	10	131	3508	13.6122677326202	0	0	1	50
european	10	153	2034	1.3511061668396	0	0	0	0
european	10	154	4126	6.06532835960388	0	0	0	0
european	10	162	1630	1.40849542617798	0	0	1	42
european	11	3	2406	2.82277464866638	0	0	1	37
european	11	31	1655	1.05504298210144	0	0	0	0
european	11	35	1142	0.324203014373779	0	0	0	0
european	11	48	2293	3.13382005691528	0	0	1	57
european	11	52	1476	0.498133659362793	0	0	1	53
european	11	53	2787	6.81225967407227	0	0	0	0
european	11	54	2220	2.52912020683289	0	0	0	0
european	11	78	1513	1.8813738822937	0	0	3	233
european	11	79	3271	6.3310375213623	0	0	1	25
european	11	96	6093	14.9617822170258	0	0	0	0
european	11	97	1348	0.420039415359497	0	0	0	0
european	11	117	5381	41.030168056488	0	0	0	0
european	11	120	857	0.506958723068237	0	0	0	0
european	11	124	2203	1.97374129295349	0	0	1	57
european	11	125	1987	2.47415566444397	0	0	2	30
european	11	130	847	0.156460046768188	0	0	0	0
european	11	144	404	0.172411918640137	0	1	1	3
european	11	145	2904	8.19569945335388	0	0	0	0
european	11	146	249	0.0996873378753662	0	2	1	2
european	11	148	1577	2.24224591255188	0	0	0	0
european	11	151	1439	0.770034790039062	0	0	0	0
european	11	155	1144	1.3425509929657	0	0	0	0
european	11	159	3008	8.84997773170471	0	0	1	32
european	11	162	1416	0.905507326126099	0	1	2	54
european	11	163	360	0.0837175846099854	0	1	1	4
european	11	164	1340	0.559966087341309	0	1	0	0
european	12	6	399	0.0667538642883301	0	0	0	0
european	12	7	1273	1.67594838142395	0	0	1	35
european	12	13	1384	0.428746223449707	0	1	0	0
european	12	32	2500	6.64790797233582	0	0	0	0
european	12	33	2001	1.2504134178161599	0	1	1	11
