pid	chromosome	block	num_variants	L	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
EAS	13	24	1739	5	5.84711694717407	0	0	1	19
EAS	13	28	694	5	2.65140342712402	0	0	0	0
EAS	13	35	2070	5	6.91943287849426	0	0	0	0
EAS	13	37	1194	5	2.97889733314514	0	0	0	0
EAS	13	40	2021	5	5.05634164810181	0	0	0	0
EAS	13	43	1835	5	11.6147494316101	0	0	0	0
EAS	13	50	3837	5	17.3294115066528	0	0	0	0
EAS	13	53	2132	5	4.89151430130005	0	0	0	0
EAS	13	54	9859	5	1971.2227268219	0	0	2	303
EAS	13	59	6947	5	58.9631626605988	0	0	0	0
EAS	13	64	1019	5	2.11768674850464	0	0	0	0
EAS	13	72	1689	5	5.35519289970398	0	0	0	0
EAS	13	82	2414	5	5.7308828830719	0	0	0	0
EAS	13	87	4397	5	29.9827938079834	0	0	0	0
EAS	13	93	1311	5	3.35687017440796	0	0	0	0
EAS	13	113	1748	5	3.44970870018005	0	0	0	0
EAS	13	119	2065	5	7.27431750297546	0	0	0	0
EAS	13	125	2400	5	8.63553524017334	0	0	0	0
EAS	14	2	418	5	1.57126355171204	0	0	0	0
EAS	14	19	2131	5	11.5769929885864	0	0	0	0
EAS	14	20	1326	5	4.95255208015442	0	0	0	0
EAS	14	24	882	5	2.45795774459839	0	0	0	0
EAS	14	26	744	5	3.02967190742493	0	0	0	0
EAS	14	29	550	5	1.7361900806427	0	0	0	0
EAS	14	31	2927	5	10.9405589103699	0	0	0	0
EAS	14	40	4260	5	19.5448296070099	0	0	0	0
EAS	14	44	1736	5	4.41930842399597	0	0	0	0
EAS	14	51	2273	5	6.51311707496643	0	0	0	0
EAS	14	57	4457	5	30.853670835495	0	0	0	0
EAS	14	65	2647	5	6.45893406867981	0	0	0	0
EAS	14	68	1570	5	6.25417494773865	0	0	0	0
EAS	14	70	2828	5	13.2954308986664	0	0	0	0
EAS	14	73	1371	5	2.85319137573242	0	0	0	0
EAS	14	76	1560	5	4.78367042541504	0	0	0	0
EAS	14	90	2471	5	7.93126940727234	0	0	0	0
EAS	14	94	1514	5	3.91218376159668	0	0	0	0
EAS	14	120	655	5	1.84976124763489	0	0	0	0
EAS	14	127	1984	5	3.78447246551514	0	0	0	0
EAS	15	13	508	5	4.17108058929443	0	0	0	0
EAS	15	27	1064	5	2.83472561836243	0	0	0	0
EAS	15	31	3468	5	8.29520916938782	0	0	0	0
EAS	15	36	65	5	2.56594610214233	0	0	0	0
EAS	15	37	2464	5	10.0126302242279	0	0	0	0
