chromosome	block	num_variants	num_variants.EUR	num_variants.AFR	num_variants.EAS	nlog10minP.EUR	nlog10minP.AFR	nlog10minP.EAS
6	111	3821	1740	3375	1192	7.848	3.092	2.766
6	112	5797	2789	4977	1708	8.104	3.914	2.526
6	116	8227	3881	7108	2412	5.876	3.617	2.153
6	124	9552	4264	8225	1887	43.3	4.131	2.436
6	125	6358	2720	5577	1053	5.186	3.403	2.141
6	127	4568	2160	4126	1189	18.03	3.588	2.558
6	130	7659	3633	6655	2445	9.926	3.515	2.595
6	140	3906	1867	3503	1329	4.236	3.699	1.965
6	143	130	67	112	0	4.272	3.065	-Inf
6	146	3146	1464	2735	905	5.518	3.831	3.338
6	149	9681	4073	8414	2758	5.667	4.248	2.729
6	154	4301	2070	3889	1531	6.416	3.799	3.389
6	157	2590	1332	2332	793	3.008	3.21	2.2
6	158	5151	2348	4512	1566	3.859	4.197	3.422
6	160	6303	2988	5605	2007	7.287	3.966	2.168
6	161	5479	2374	4957	1467	5.638	3.213	3.417
6	169	12975	5971	11508	3456	55.08	3.219	2.752
6	173	6099	2977	5345	2203	8.146	2.927	3.173
6	175	3184	1849	2820	944	10.82	4.366	3.154
6	178	2000	1000	1823	728	6.701	2.594	2.547
6	179	3320	1713	2963	1219	4.89	3.509	3.262
6	182	5239	2247	4746	1768	4.112	3.651	3.245
7	3	5307	2288	4573	864	7.529	4.847	1.99
7	8	11599	5747	10346	2988	3.467	3.805	2.405
7	11	5640	2671	4957	624	5.426	4.117	2.613
7	12	9964	4752	8719	2161	8.936	4.076	3.583
7	13	3907	1870	3510	885	7.793	4.222	2.936
7	25	7610	3868	6904	2912	5.471	4.721	3.396
7	26	7389	3762	6687	2475	4.72	4.039	3.058
7	29	5234	2750	4678	1717	6.268	4.288	2.955
7	30	6507	2949	5866	1762	4.062	3.444	3.012
7	31	5640	2743	4972	1933	11.61	3.426	3.084
7	32	6226	3198	5544	1951	16.06	4.093	2.562
7	33	8322	4010	7273	2427	14.62	5.23	3.099
7	35	6912	3364	6119	2480	3.575	3.165	2.041
7	37	6572	3474	5776	2293	4.717	2.875	3.418
7	41	6096	3054	5446	1869	5.088	3.305	2.835
7	42	6191	3107	5379	2014	41.02	3.88	2.761
7	43	8866	4068	7807	2336	7.036	3.522	2.201
7	44	1263	577	1133	363	7.383	3.083	2.019
7	45	2470	1329	2241	781	4.428	3.914	2.049
7	48	1278	648	1160	400	10.17	2.907	2.315
7	50	4333	2107	3875	1099	8.024	3.713	2.229
7	54	7300	3176	6545	2381	5.11	3.383	3.555
7	58	6111	3099	5373	1730	6.163	4.01	3.266
7	64	482	251	450	171	5.193	2.251	1.509
7	66	2744	1421	2336	766	4.956	3.186	2.483
7	67	16306	7599	14047	4217	20.38	5.264	2.846
7	69	3854	2056	3311	1133	5.085	3.441	2.223
7	73	2330	1059	2004	654	6.805	3.119	2.42
7	74	2811	1381	2476	929	5.049	2.494	4.468
7	85	8510	3525	7164	1621	459.1	3.282	2.678
7	86	2481	1224	2015	511	36.05	2.731	1.892
