chromosome	block	num_variants	num_variants.EUR	num_variants.AFR	num_variants.EAS	nlog10minP.EUR	nlog10minP.AFR	nlog10minP.EAS
7	85	8515	3527	7189	1641	6.994	3.489	2.494
7	88	9979	4012	8808	2777	7.188	4.177	3.486
7	89	4968	2570	4350	1810	3.452	4.105	2.782
7	95	3794	1940	3291	1237	6.242	3.517	2.257
7	99	9742	4030	8507	2622	8.844	3.604	3.1
7	103	5032	2432	4146	1394	5.909	3.082	2.53
7	109	5408	2272	4707	1562	8.276	3.425	2.31
7	111	9651	4010	8158	1805	13.41	3.879	2.788
7	112	4076	1865	3672	1113	4.331	3.433	2.215
7	113	7827	3253	6938	2117	5.472	3.488	3.501
7	114	10938	4842	9495	3628	4.42	3.962	2.774
7	119	4340	2158	3646	1173	4.336	3.334	3.205
7	132	14069	5913	12280	3946	4.105	3.442	3.593
7	133	12637	5947	11013	2714	6.137	4.957	2.512
7	134	3550	1837	3163	954	3.798	3.497	2.92
7	138	9196	4134	7908	2672	5.036	2.8	3.288
7	139	1912	970	1616	549	3.662	3.683	1.923
7	141	9344	4443	8185	2527	4.349	3.122	3.252
7	147	2977	1388	2655	680	3.747	3.801	2.792
7	152	3304	1321	2961	677	3.534	3.736	1.441
7	162	12316	5319	10902	2860	6.412	4.695	2.502
7	176	1237	704	1091	359	2.904	2.764	2.636
7	177	1958	1028	1763	149	3.541	2.687	2.308
7	187	9878	3900	8681	2657	4.278	3.413	3.114
8	17	6204	2981	5540	1595	7.037	4.807	2.576
8	29	10605	5291	9680	3765	11.02	3.851	2.436
8	36	2052	1006	1815	430	6.481	2.3	3.426
8	39	4565	2298	3964	1471	5.988	3.007	3.464
8	42	7475	3833	6598	2241	4.249	6.19	2.487
8	44	2285	1171	1977	771	3.639	4.098	1.889
8	45	4896	2217	4296	1185	7.184	3.583	1.217
8	56	5663	2479	4884	1443	4.284	3.439	3.358
8	57	3903	1833	3464	1131	2.47	3.512	1.828
8	59	3531	1643	3075	886	8.712	3.414	2.688
8	65	3789	1816	3275	1075	18.97	4.543	1.535
8	68	5027	2407	4334	1657	37.16	3.69	3.619
8	69	10476	4801	9028	2966	7.957	4.479	4.065
8	71	6855	3183	5815	1855	3.043	3.798	3.628
8	75	1670	790	1495	511	3.094	3.146	1.647
8	78	1251	645	1104	395	3.199	4.52	2.388
8	79	4146	2125	3659	1197	5.374	5.75	3.351
8	81	6517	3035	5715	2007	8.097	4.04	2.697
8	83	11221	4789	9665	3095	4.289	3.689	3.223
8	85	5825	2550	5074	1164	6.361	4.311	1.937
8	88	7081	3259	6083	2009	3.969	3.521	2.002
8	90	8792	3634	7690	1835	4.954	3.97	2.966
8	101	4841	2080	4298	1476	7.977	3.62	2.387
8	106	6228	3267	5377	2032	3.395	4.251	3.173
8	113	4528	2176	3762	1189	18.11	3.388	2.115
8	124	3794	1812	3305	1054	4.363	4.15	1.884
8	125	1605	814	1434	448	181.2	2.091	1.883
8	135	4856	2430	4245	1446	3.154	3.265	3.444
8	153	2827	1452	2405	706	4.936	5.24	1.466
8	159	5082	2188	4397	789	2.936	3.698	1.935
8	160	5474	2068	4742	852	12.86	2.897	4.187
