chromosome	block	num_variants	num_variants.EUR	num_variants.AFR	num_variants.EAS	nlog10minP.EUR	nlog10minP.AFR	nlog10minP.EAS
8	65	3848	1872	3326	1031	20.51	4.364	1.842
8	68	5114	2505	4407	1521	41.42	3.295	3.755
8	69	10608	4946	9146	2776	12.87	4.37	4.042
8	78	1263	664	1110	369	2.787	4.312	1.737
8	81	6589	3118	5770	1907	6.956	4.297	2.627
8	83	11353	4946	9787	3020	3.433	3.971	2.807
8	84	14926	6862	12737	3733	3.98	3.274	3.712
8	85	5853	2600	5101	1052	7.363	3.937	1.913
8	88	7172	3370	6167	1941	4.589	3.325	2.283
8	106	6310	3355	5451	2046	4.04	3.228	2.677
8	109	10212	4803	8936	2752	4.591	3.411	2.665
8	110	10766	4652	9370	2406	6.383	4.584	3.592
8	113	4567	2242	3803	1075	24.41	3.61	2.135
8	118	3013	1374	2668	829	3.73	3.287	2.195
8	121	978	617	862	214	4.762	2.558	2.09
8	124	3833	1866	3349	989	6.277	4.193	1.814
8	125	1610	829	1446	406	185.7	2.227	2.833
8	126	492	315	419	138	3.328	2.327	0.9324
8	135	4870	2476	4253	1357	4.06	3.788	3.632
8	153	2831	1471	2416	738	6.018	4.825	2.005
8	159	5101	2219	4386	936	5.168	3.547	2.441
8	160	5438	2079	4702	915	12.24	2.655	4.625
9	4	5063	2704	4588	1495	11.95	3.372	2.474
9	5	1299	555	1174	331	4.189	3.194	1.633
9	9	3957	1940	3490	1119	3.749	3.464	2.474
9	12	5126	2316	4601	1477	4.653	4.411	1.443
9	13	9828	4417	8708	2100	5.487	3.208	2.34
9	31	7944	3751	7016	2311	23.8	2.918	1.914
9	33	5392	2539	4928	1863	4.955	3.45	2.207
9	36	5077	2547	4573	1521	13.23	4.323	3.113
9	39	2353	1102	2034	655	26.46	3.552	2.45
9	40	9793	4735	8662	2845	4.381	3.524	2.876
9	51	3096	1485	2755	854	5.703	2.846	2.45
9	53	10452	4777	8810	2984	4.104	3.402	2.832
9	69	3667	1864	3253	935	6.722	3.802	1.596
9	70	2270	1289	2004	685	3.096	3.579	1.697
9	72	1482	810	1350	350	9.066	3.255	2.961
9	73	3945	1911	3513	1090	4.686	2.886	1.597
9	89	1535	727	1382	293	3.446	2.309	2.152
9	93	6355	3077	5640	1466	2.973	4.537	2.978
9	99	4486	2185	3894	1427	4.382	5.699	2.133
9	100	7770	3638	6528	2533	6.704	5.219	2.274
9	102	8546	3673	7359	2121	6.32	4.193	3.213
9	103	1820	972	1676	581	2.746	2.831	1.209
9	104	2133	1166	1871	674	3.455	3.033	2.498
9	105	1548	832	1359	457	3.211	3.125	4.076
9	106	7389	3625	6293	1720	5.433	2.996	3.32
9	107	1889	939	1679	527	6.343	2.84	2.152
9	109	8891	4395	7771	2872	5.242	4.262	3.056
9	110	9824	4434	8614	2879	45.74	3.659	3.481
9	111	350	194	328	71	85.9	2.941	1.99
9	112	8438	4252	7451	2108	8.453	3.505	3.096
9	113	4858	2327	4343	1263	3.806	2.773	2.693
9	114	2839	1527	2508	722	3.513	4.033	3.031
9	115	8742	4440	7798	2870	4.135	3.827	2.283
9	116	4329	2343	3736	1377	5.562	3.071	3.111
9	118	10866	5315	9501	3451	5.945	3.254	3.152
9	119	4227	1918	3689	1322	4.036	3.051	2.687
9	121	2520	1360	2193	684	4.022	3.918	2.235
9	124	4019	2014	3529	1245	6.144	3.746	2.912
9	125	5595	2837	4942	1957	4.82	2.952	2.978
9	134	11254	4996	9859	2529	7.673	3.697	2.688
9	140	12131	5249	10184	3120	9.241	4.457	2.993
9	142	3580	1797	3183	937	4.624	4.936	2.01
9	144	3998	2015	3536	704	4.122	2.925	2.807
9	145	4695	2357	3976	1028	5.103	4.645	2.06
9	149	4100	1833	3596	821	100.8	3.956	3.679
9	153	312	206	282	108	2.65	1.833	1.38
9	160	1623	836	1399	269	5.941	3.37	2.451
9	161	1612	891	1305	282	7.279	2.454	1.934
10	13	4956	2342	4494	1519	9.552	2.63	2.395
10	22	5384	2736	4837	1665	6.603	3.452	2.321
10	43	4446	2320	4011	1345	16.74	2.524	1.924
10	44	2438	1333	2260	970	7.262	2.376	2.301
10	46	7511	3648	6815	2479	4.749	3.528	2.78
10	52	7606	3663	6611	2049	3.988	5.282	3.237
10	53	3907	1793	3552	955	4.563	3.223	2.081
10	58	1479	703	1374	447	3.645	4.069	1.796
10	59	4968	1935	4377	1196	4.24	3.345	3.443
10	67	4958	1886	4328	1418	12.72	2.968	2.632
10	69	6655	2875	6006	1354	4.2	2.698	2.483
10	70	7178	3314	6274	1821	10.73	4.71	1.931
10	73	4287	2006	3817	1324	3.103	3.422	2.49
10	77	17931	7554	15941	3997	5.369	4.062	2.707
10	80	7327	3786	6094	1683	6.74	3.109	3.96
10	81	8463	3868	7182	2152	6.83	4.035	2.234
10	84	12830	5349	11279	2877	5.756	3.558	2.547
10	85	2115	1076	1931	611	17	2.915	1.51
10	92	12647	5124	10956	3286	5.614	3.841	3.632
10	100	1942	1078	1764	510	4.698	2.554	2.196
10	101	6101	2711	5521	1373	3.785	4.236	2.715
10	109	7646	3324	6772	1942	7.671	3.482	3.045
10	110	2398	1150	2058	595	5.479	2.634	2.071
10	112	1475	837	1312	489	6.06	2.643	3.255
