pheno	chromosome	block	num_variants_0.9.UKBB.EUR	num_variants_0.9.UKBB_0.1.GLGC.EUR	num_variants_0.9.UKBB.AFR	num_variants_0.9.UKBB_0.1.GLGC.AFR	num_variants_0.9.UKBB.EAS	num_variants_0.9.UKBB_0.1.GLGC.EAS
TC	12	59	0	0	0	0	0	0
TC	12	60	0	0	0	0	0	0
TC	12	61	0	0	0	0	0	0
TC	12	62	0	0	0	0	0	0
TC	12	63	0	0	0	0	0	0
TC	12	64	0	0	0	0	0	0
TC	12	66	0	0	0	0	0	0
TC	12	67	0	0	0	0	0	0
TC	12	69	0	0	0	0	0	0
TC	12	71	0	0	0	0	0	0
TC	12	72	0	0	0	0	0	0
TC	12	82	0	0	0	0	0	0
TC	12	97	0	0	0	0	0	0
TC	12	98	0	0	0	0	0	0
TC	12	106	0	0	0	0	0	0
TC	12	110	0	0	0	0	0	0
TC	12	113	0	0	0	0	0	0
TC	12	116	0	0	0	0	0	0
TC	12	117	0	0	0	0	0	0
TC	12	119	0	0	0	0	0	0
TC	12	120	0	0	0	0	0	0
TC	12	121	0	0	0	0	0	0
TC	12	122	1	0	0	0	0	0
TC	12	123	0	0	0	0	0	0
TC	12	127	0	0	0	0	0	0
TC	12	128	0	0	0	0	0	0
TC	12	129	0	0	0	0	0	0
TC	12	138	0	0	0	0	0	0
TC	12	139	0	0	0	0	0	0
TC	12	140	0	0	0	0	0	0
TC	12	141	1	0	0	0	0	0
TC	13	18	1	0	0	0	0	0
TC	13	21	0	0	0	0	0	0
TC	13	24	0	0	0	0	0	0
TC	13	25	0	0	0	0	0	0
TC	13	40	0	0	0	0	0	0
TC	13	44	0	0	0	0	0	0
TC	13	45	0	0	0	0	0	0
TC	13	50	0	0	0	0	0	0
TC	13	66	0	0	0	0	0	0
TC	13	69	0	0	0	0	0	0
TC	13	70	0	0	0	0	0	0
TC	13	84	0	0	0	0	0	0
TC	13	95	0	0	0	0	0	0
TC	13	96	0	0	0	0	0	0
TC	13	111	0	0	0	0	0	0
TC	13	115	0	0	0	0	0	0
TC	13	116	0	0	0	0	0	0
TC	13	118	0	0	0	0	0	0
TC	13	124	0	0	0	0	0	0
TC	13	125	0	0	0	0	0	0
TC	14	4	0	0	0	0	0	0
TC	14	10	0	0	0	0	0	0
TC	14	11	0	0	0	0	0	0
TC	14	14	0	0	0	0	0	0
TC	14	23	0	0	0	0	0	0
TC	14	31	0	0	0	0	0	0
TC	14	35	0	0	0	0	0	0
TC	14	43	0	0	0	0	0	0
TC	14	63	0	0	0	0	0	0
TC	14	67	0	0	0	0	0	0
TC	14	68	0	0	0	0	0	0
TC	14	72	0	0	0	0	0	0
TC	14	73	0	0	0	0	0	0
TC	14	93	0	0	0	0	0	0
TC	14	96	0	0	0	0	0	0
TC	14	105	0	0	0	0	0	0
TC	14	106	0	0	0	0	0	0
TC	14	120	0	0	0	0	0	0
TC	14	121	0	0	0	0	0	0
TC	14	126	0	0	0	0	0	0
TC	14	127	0	0	0	0	0	0
TC	14	129	0	0	0	0	0	0
TC	15	37	0	0	0	0	0	0
TC	15	44	0	0	0	0	0	0
TC	15	45	0	0	0	0	0	0
TC	15	46	0	0	0	0	0	0
TC	15	47	0	0	0	0	0	0
TC	15	50	0	0	0	0	0	0
TC	15	52	0	0	0	0	0	0
TC	15	53	0	0	0	0	0	0
TC	15	54	0	0	0	0	0	0
TC	15	59	0	0	0	0	0	0
TC	15	62	0	0	0	0	0	0
TC	15	63	0	0	0	0	0	0
TC	15	64	0	0	0	0	0	0
TC	15	66	0	0	0	0	0	0
TC	15	80	0	0	0	0	0	0
TC	15	83	0	0	0	0	0	0
TC	15	85	0	0	0	0	0	0
TC	15	88	0	0	0	0	0	0
TC	15	102	0	0	0	0	0	0
TC	15	111	0	0	0	0	0	0
TC	15	117	0	0	0	0	0	0
TC	16	1	0	0	0	0	0	0
TC	16	2	0	0	0	0	0	0
TC	16	4	0	0	0	0	0	0
TC	16	5	0	0	0	0	0	0
TC	16	6	0	0	0	0	0	0
TC	16	9	0	0	0	0	0	0
TC	16	31	0	0	0	0	0	0
TC	16	32	0	0	0	0	0	0
TC	16	33	0	0	0	0	0	0
TC	16	37	0	0	0	0	0	0
TC	16	41	0	0	0	0	0	0
TC	16	43	0	0	0	0	0	0
TC	16	58	0	0	0	0	0	0
TC	16	59	0	0	0	0	0	0
TC	16	63	0	0	0	0	0	0
TC	16	70	0	0	0	0	0	0
TC	16	74	0	0	0	0	0	0
TC	16	75	0	0	0	0	0	0
TC	16	76	0	0	0	0	0	0
TC	16	79	0	0	0	0	0	0
TC	16	83	0	0	0	0	0	0
TC	16	85	0	0	0	0	0	0
TC	16	88	0	0	0	0	0	0
TC	16	89	0	0	0	0	0	0
TC	16	90	0	0	0	0	0	0
TC	16	91	0	0	0	0	0	0
TC	16	94	0	0	0	0	0	0
TC	16	99	1	0	0	0	0	0
TC	16	100	0	0	0	0	0	0
TC	16	101	0	0	0	0	0	0
