chromosome	block	num_variants	num_variants.EUR	num_variants.EAS	minP.EUR	minP.EAS
18	73	4388	3875	3533	4.586e-8	5.265e-5
18	74	5513	5397	3818	5.115e-16	0.003245
18	75	976	817	713	4.041e-11	6.606e-4
18	88	2311	2125	1963	4.658e-6	7.798e-4
18	98	1721	1562	1310	1.019e-6	1.417e-4
18	102	922	767	745	4.117e-6	0.001358
18	120	1796	1760	1569	8.936e-13	6.749e-8
19	22	1936	1843	936	6.008e-8	0.01318
19	25	1371	1139	934	5.828e-6	0.007729
19	32	1675	1643	868	3.152e-4	8.752e-6
19	38	536	505	381	2.698e-7	0.001453
19	39	2980	2733	2266	3.594e-10	0.001733
19	52	1239	1219	859	3.785e-6	0.01063
19	53	3185	2713	2140	2.8e-16	0.001277
19	57	2592	2015	2184	0.001109	4.282e-6
19	59	238	227	105	3.007e-9	0.1252
19	62	3271	2790	2777	3.741e-7	6.905e-4
19	63	1395	1354	857	0.001513	8.002e-6
19	67	7228	5583	5919	1.04e-5	6.032e-6
19	80	797	775	335	8.343e-7	0.0319
19	81	1693	1562	1173	8.292e-12	4.174e-4
